mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.376,0.992,1.362,0.03,0.026,0.011,1.429,58.272,0.0
2.413,0.991,1.286,0.027,0.03,0.011,1.355,56.557,0.0
2.457,0.99,1.268,0.024,0.029,0.01,1.331,55.165,0.0
2.301,0.992,1.263,0.026,0.024,0.009,1.322,54.991,0.0
2.413,0.993,1.279,0.024,0.025,0.01,1.338,54.579,0.0
2.365,0.992,1.258,0.023,0.024,0.008,1.313,55.604,0.0
2.315,0.993,1.283,0.023,0.023,0.009,1.338,54.468,0.0
2.432,0.988,1.236,0.026,0.034,0.01,1.306,56.304,0.0
2.327,0.99,1.231,0.025,0.028,0.011,1.296,54.818,0.0
2.451,0.993,1.266,0.024,0.021,0.01,1.322,55.866,0.0
2.378,0.993,1.307,0.025,0.024,0.012,1.368,54.749,0.0
2.226,0.994,1.246,0.022,0.019,0.009,1.297,56.422,0.0
2.346,0.992,1.274,0.022,0.023,0.009,1.327,55.084,0.0
2.477,0.993,1.333,0.024,0.02,0.011,1.389,55.062,0.0
2.314,0.994,1.296,0.022,0.02,0.008,1.347,60.023,0.0
2.277,0.992,1.293,0.024,0.023,0.01,1.35,58.005,0.0
2.275,0.994,1.275,0.022,0.021,0.009,1.327,54.397,0.0
2.436,0.993,1.261,0.022,0.027,0.01,1.32,54.724,0.0
2.358,0.991,1.285,0.023,0.029,0.012,1.349,55.332,0.0
2.514,0.995,1.263,0.02,0.018,0.007,1.309,54.907,0.0
2.41,0.993,1.262,0.018,0.022,0.008,1.311,54.743,0.0
2.31,0.993,1.32,0.024,0.024,0.011,1.379,54.658,0.0
2.307,0.995,1.256,0.02,0.017,0.007,1.301,57.424,0.0
2.438,0.991,1.269,0.022,0.031,0.01,1.332,57.274,0.0
2.45,0.994,1.271,0.019,0.019,0.01,1.32,56.196,0.0
2.464,0.993,1.26,0.021,0.021,0.008,1.309,56.803,0.0
2.409,0.991,1.274,0.023,0.025,0.009,1.331,59.936,0.0
2.29,0.991,1.264,0.021,0.027,0.012,1.323,60.484,0.0
2.549,0.993,1.215,0.019,0.025,0.008,1.267,56.59,0.0
2.319,0.994,1.304,0.019,0.018,0.007,1.348,55.914,0.0
2.394,0.996,1.313,0.019,0.015,0.008,1.356,57.266,0.0
2.389,0.992,1.269,0.019,0.027,0.01,1.326,67.393,0.0
